Date,Time,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-03-02,20:15,37,1,0.0798718258486809,0.1132923631989996,4,0.1081081081081081
2022-03-02,20:30,139,6,0.0895287845980563,0.2002315173139882,17,0.1223021582733813
2022-03-02,20:45,385,4,0.073263866473715,0.0908545284631842,47,0.122077922077922
2022-03-02,21:0,385,3,0.0845629422381133,0.1175990345118463,61,0.1584415584415584
2022-03-02,21:15,140,4,0.1086344859396506,0.1417411927337321,34,0.2428571428571428
2022-03-02,21:30,131,7,0.1258299413656119,0.1873877333522085,46,0.3511450381679389
2022-03-02,21:45,115,5,0.1050656835103164,0.1782055286011451,31,0.2695652173913043
2022-03-02,22:0,113,4,0.0842028620479776,0.2091439371878363,22,0.1946902654867256
2022-03-02,22:15,152,2,0.0919708208591481,0.1759200890178351,35,0.2302631578947368
2022-03-02,22:30,29,1,0.0765460676609956,0.1651158551027891,2,0.0689655172413793
2022-03-02,22:45,143,6,0.1130055093655844,0.1690069607629394,28,0.1958041958041958
2022-03-02,23:0,77,2,0.0512508136558939,0.2026061250888063,8,0.1038961038961039
2022-03-02,23:15,102,4,0.0888239898508889,0.1733129935286366,10,0.0980392156862745
2022-03-02,23:30,152,0,0.0622227881532652,0.1696427561369979,9,0.0592105263157894
2022-03-02,23:45,66,0,0.0615835559102847,0.1860518907644799,7,0.106060606060606
2022-03-03,0:0,64,5,0.1258633037796244,0.1807667759840311,12,0.1875
2022-03-03,0:15,483,16,0.0800358810101483,0.1825783855714435,50,0.10351966873706
2022-03-03,0:30,429,13,0.0922413726037667,0.1925448140917264,61,0.1421911421911421
2022-03-03,0:45,325,16,0.0980570894379455,0.1888991950064467,47,0.1446153846153846
2022-03-03,1:0,223,8,0.1006407347349074,0.1608341041741491,30,0.1345291479820627
2022-03-03,1:15,108,8,0.118476842754279,0.1964183538243876,22,0.2037037037037037
2022-03-03,1:30,70,4,0.0947497110015579,0.2141423851076117,8,0.1142857142857142
2022-03-03,1:45,97,11,0.1344169466468246,0.3006285608098548,22,0.2268041237113402
2022-03-03,2:0,115,18,0.1756357210971739,0.2696546883317285,32,0.2782608695652174
2022-03-03,2:15,91,9,0.1126167238127071,0.2395238500186337,14,0.1538461538461538
2022-03-03,2:30,54,3,0.1091269363683682,0.2441291543097621,13,0.2407407407407407
2022-03-03,2:45,65,5,0.1154562454384106,0.3006554581320172,14,0.2153846153846154
2022-03-03,3:0,66,11,0.1757782358944303,0.2690715529064248,18,0.2727272727272727
2022-03-03,3:15,85,13,0.1593217053341076,0.3168151570077891,24,0.2823529411764706
2022-03-03,3:30,78,7,0.1232214025997867,0.3464594669815587,16,0.2051282051282051
2022-03-03,3:45,92,6,0.0938636353290032,0.2581316972367844,15,0.1630434782608695
